feature,importance,absolute_importance,model,experiment_id,include_prior_grades,use_interactions
failures,-0.8841130099010617,0.8841130099010617,linear_regression,early_warning__baseline_features,False,False
higher_no,-0.843469050542372,0.843469050542372,linear_regression,early_warning__baseline_features,False,False
higher_yes,0.8434690505423715,0.8434690505423715,linear_regression,early_warning__baseline_features,False,False
schoolsup_no,0.8016965719140394,0.8016965719140394,linear_regression,early_warning__baseline_features,False,False
schoolsup_yes,-0.8016965719140393,0.8016965719140393,linear_regression,early_warning__baseline_features,False,False
school_MS,-0.6968293543991387,0.6968293543991387,linear_regression,early_warning__baseline_features,False,False
school_GP,0.6968293543991386,0.6968293543991386,linear_regression,early_warning__baseline_features,False,False
Fjob_at_home,0.6418933541283964,0.6418933541283964,linear_regression,early_warning__baseline_features,False,False
Mjob_health,0.6017148964362904,0.6017148964362904,linear_regression,early_warning__baseline_features,False,False
reason_other,-0.5656183724126714,0.5656183724126714,linear_regression,early_warning__baseline_features,False,False
Fjob_services,-0.4574335858469504,0.4574335858469504,linear_regression,early_warning__baseline_features,False,False
guardian_other,0.45608416629111903,0.45608416629111903,linear_regression,early_warning__baseline_features,False,False
Mjob_at_home,-0.44317497033808856,0.44317497033808856,linear_regression,early_warning__baseline_features,False,False
reason_reputation,0.43678844355256763,0.43678844355256763,linear_regression,early_warning__baseline_features,False,False
Fjob_health,-0.3992132015187671,0.3992132015187671,linear_regression,early_warning__baseline_features,False,False
guardian_mother,-0.3788783925199414,0.3788783925199414,linear_regression,early_warning__baseline_features,False,False
health,-0.32818461962868256,0.32818461962868256,linear_regression,early_warning__baseline_features,False,False
studytime,0.29953272836261025,0.29953272836261025,linear_regression,early_warning__baseline_features,False,False
Mjob_other,-0.2910784222990227,0.2910784222990227,linear_regression,early_warning__baseline_features,False,False
Fedu,0.28298005637989665,0.28298005637989665,linear_regression,early_warning__baseline_features,False,False
Dalc,-0.24216557201274502,0.24216557201274502,linear_regression,early_warning__baseline_features,False,False
sex_F,0.23868630967670973,0.23868630967670973,linear_regression,early_warning__baseline_features,False,False
sex_M,-0.23868630967670956,0.23868630967670956,linear_regression,early_warning__baseline_features,False,False
absences,-0.23814546502096232,0.23814546502096232,linear_regression,early_warning__baseline_features,False,False
romantic_yes,-0.18600608549620828,0.18600608549620828,linear_regression,early_warning__baseline_features,False,False
romantic_no,0.18600608549620823,0.18600608549620823,linear_regression,early_warning__baseline_features,False,False
paid_yes,-0.17392061919947838,0.17392061919947838,linear_regression,early_warning__baseline_features,False,False
