experiment_id,model,include_prior_grades,use_interactions,is_interpretable,is_exploratory,rmse,mae,r2,pass_fail_accuracy,pass_fail_precision,pass_fail_recall,pass_fail_f1
with_prior_grades__with_interactions,lasso,True,True,True,False,1.1721800456202442,0.7198204076589333,0.8591010994695536,0.9,1.0,0.8869565217391304,0.9400921658986175
with_prior_grades__baseline_features,lasso,True,False,True,False,1.188688388000278,0.739169386648972,0.8551044670295792,0.8923076923076924,1.0,0.8782608695652174,0.9351851851851852
with_prior_grades__with_interactions,ridge,True,True,True,False,1.1896204262915173,0.7394706113946742,0.8548771557657266,0.8846153846153846,1.0,0.8695652173913043,0.9302325581395349
with_prior_grades__with_interactions,linear_regression,True,True,True,False,1.1904873026009157,0.7403781441717348,0.8546655766950276,0.8846153846153846,1.0,0.8695652173913043,0.9302325581395349
with_prior_grades__baseline_features,ridge,True,False,True,False,1.2141415726648235,0.7640561832575405,0.8488327836812585,0.8846153846153846,1.0,0.8695652173913043,0.9302325581395349
with_prior_grades__baseline_features,linear_regression,True,False,True,False,1.214870057398705,0.7650597682758268,0.8486513286537314,0.8846153846153846,1.0,0.8695652173913043,0.9302325581395349
with_prior_grades__with_interactions,decision_tree,True,True,True,False,1.272013053308886,0.7698428487419715,0.834078718892621,0.9,0.9811320754716981,0.9043478260869565,0.9411764705882354
with_prior_grades__baseline_features,mlp,True,False,False,True,1.2812480221755647,0.8301250426370803,0.8316607560850667,0.8923076923076924,0.9902912621359223,0.8869565217391304,0.9357798165137615
with_prior_grades__baseline_features,decision_tree,True,False,True,False,1.32972614390774,0.7934377618933361,0.8186809765498377,0.9,0.9811320754716981,0.9043478260869565,0.9411764705882354
with_prior_grades__with_interactions,mlp,True,True,False,True,1.3821166108562097,0.9130730290569987,0.8041117757488976,0.8846153846153846,0.9807692307692307,0.8869565217391304,0.9315068493150686
early_warning__with_interactions,lasso,False,True,True,False,2.78719920514507,2.075622601666904,0.20337308551475597,0.8692307692307693,0.9298245614035088,0.9217391304347826,0.925764192139738
early_warning__with_interactions,ridge,False,True,True,False,2.821845914816098,2.116766303599951,0.18344480230032822,0.8692307692307693,0.9298245614035088,0.9217391304347826,0.925764192139738
early_warning__with_interactions,linear_regression,False,True,True,False,2.8265189549115886,2.122360594724225,0.1807380955448954,0.8692307692307693,0.9298245614035088,0.9217391304347826,0.925764192139738
early_warning__baseline_features,lasso,False,False,True,False,2.8291426185480453,2.1194098404349795,0.17921646041458572,0.8538461538461538,0.9210526315789473,0.9130434782608695,0.9170305676855894
early_warning__with_interactions,mlp,False,True,False,True,2.8408748587513197,2.115630766394164,0.1723948910454718,0.8692307692307693,0.9152542372881356,0.9391304347826087,0.9270386266094419
early_warning__baseline_features,ridge,False,False,True,False,2.857985844538722,2.1518077261135713,0.1623953048459702,0.8615384615384616,0.9292035398230089,0.9130434782608695,0.9210526315789473
early_warning__baseline_features,linear_regression,False,False,True,False,2.86177993773442,2.156382187028527,0.16016991964318306,0.8615384615384616,0.9292035398230089,0.9130434782608695,0.9210526315789473
early_warning__baseline_features,mlp,False,False,False,True,2.9119896948841166,2.2390722662635225,0.13044186236632116,0.8769230769230769,0.9090909090909091,0.9565217391304348,0.9322033898305085
early_warning__baseline_features,decision_tree,False,False,True,False,3.1594198754996903,2.3720373541063027,-0.023607944891943733,0.823076923076923,0.9339622641509434,0.8608695652173913,0.8959276018099547
early_warning__with_interactions,decision_tree,False,True,True,False,3.377277195818369,2.515498892567841,-0.1696404289335931,0.8,0.9238095238095239,0.8434782608695652,0.8818181818181818
